interacting_pair	variable	pvalue	mean	part1	part2	tissue
COL3A1_a1b1 complex	Fib.BEC	0	0.848	Fib	BEC	Commonbileduct
COL3A1_a1b1 complex	Fib.Smo	0	0.699	Fib	Smo	Commonbileduct
COL3A1_a1b1 complex	Fib.TRM_CD8	0	0.731	Fib	TRM_CD8	Commonbileduct
COL3A1_a1b1 complex	Smo.BEC	0	0.806	Smo	BEC	Commonbileduct
COL3A1_a1b1 complex	Smo.Smo	0	0.658	Smo	Smo	Commonbileduct
COL3A1_a1b1 complex	Smo.TRM_CD8	0	0.69	Smo	TRM_CD8	Commonbileduct
COL3A1_a2b1 complex	Fib.Cholangiocyte_FXYD2_high	0	0.684	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
COL3A1_a2b1 complex	Smo.Cholangiocyte_FXYD2_high	0	0.642	Smo	Cholangiocyte_FXYD2_high	Commonbileduct
COL4A1_a1b1 complex	BEC.BEC	0	0.994	BEC	BEC	Commonbileduct
COL4A1_a1b1 complex	BEC.Smo	0	0.845	BEC	Smo	Commonbileduct
COL4A1_a1b1 complex	BEC.TRM_CD8	0	0.877	BEC	TRM_CD8	Commonbileduct
COL4A1_a1b1 complex	Fib.BEC	0	0.689	Fib	BEC	Commonbileduct
COL4A1_a1b1 complex	Fib.Smo	0	0.54	Fib	Smo	Commonbileduct
COL4A1_a1b1 complex	Fib.TRM_CD8	0	0.572	Fib	TRM_CD8	Commonbileduct
COL4A1_a1b1 complex	Smo.BEC	0	0.82	Smo	BEC	Commonbileduct
COL4A1_a1b1 complex	Smo.Smo	0	0.671	Smo	Smo	Commonbileduct
COL4A1_a1b1 complex	Smo.TRM_CD8	0	0.703	Smo	TRM_CD8	Commonbileduct
COL4A1_a2b1 complex	BEC.Cholangiocyte_FXYD2_high	0	0.83	BEC	Cholangiocyte_FXYD2_high	Commonbileduct
COL4A1_a2b1 complex	Fib.Cholangiocyte_FXYD2_high	0	0.525	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
COL4A1_a2b1 complex	Smo.Cholangiocyte_FXYD2_high	0	0.656	Smo	Cholangiocyte_FXYD2_high	Commonbileduct
COL4A2_a1b1 complex	BEC.BEC	0	0.919	BEC	BEC	Commonbileduct
COL4A2_a1b1 complex	BEC.Smo	0	0.771	BEC	Smo	Commonbileduct
COL4A2_a1b1 complex	BEC.TRM_CD8	0	0.802	BEC	TRM_CD8	Commonbileduct
COL4A2_a1b1 complex	Fib.BEC	0	0.64	Fib	BEC	Commonbileduct
COL4A2_a1b1 complex	Fib.Smo	0	0.492	Fib	Smo	Commonbileduct
COL4A2_a1b1 complex	Fib.TRM_CD8	0	0.524	Fib	TRM_CD8	Commonbileduct
COL4A2_a1b1 complex	Smo.BEC	0	0.858	Smo	BEC	Commonbileduct
COL4A2_a1b1 complex	Smo.Smo	0	0.709	Smo	Smo	Commonbileduct
COL4A2_a1b1 complex	Smo.TRM_CD8	0	0.741	Smo	TRM_CD8	Commonbileduct
COL4A2_a2b1 complex	BEC.Cholangiocyte_FXYD2_high	0	0.755	BEC	Cholangiocyte_FXYD2_high	Commonbileduct
COL4A2_a2b1 complex	Fib.Cholangiocyte_FXYD2_high	0	0.476	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
COL4A2_a2b1 complex	Smo.Cholangiocyte_FXYD2_high	0	0.694	Smo	Cholangiocyte_FXYD2_high	Commonbileduct
COL4A4_a1b1 complex	Cholangiocyte_FXYD2_high.BEC	0	0.46	Cholangiocyte_FXYD2_high	BEC	Commonbileduct
COL4A4_a1b1 complex	Cholangiocyte_FXYD2_high.Smo	0	0.311	Cholangiocyte_FXYD2_high	Smo	Commonbileduct
COL4A4_a1b1 complex	Cholangiocyte_FXYD2_high.TRM_CD8	0	0.343	Cholangiocyte_FXYD2_high	TRM_CD8	Commonbileduct
COL4A4_a2b1 complex	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	0.296	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
COL4A5_a1b1 complex	Smo.BEC	0	0.56	Smo	BEC	Commonbileduct
COL4A5_a1b1 complex	Smo.Smo	0	0.412	Smo	Smo	Commonbileduct
COL4A5_a1b1 complex	Smo.TRM_CD8	0	0.443	Smo	TRM_CD8	Commonbileduct
COL4A5_a2b1 complex	Smo.Cholangiocyte_FXYD2_high	0	0.396	Smo	Cholangiocyte_FXYD2_high	Commonbileduct
COL5A1_a1b1 complex	Fib.BEC	0	0.498	Fib	BEC	Commonbileduct
COL5A1_a1b1 complex	Fib.Smo	0	0.35	Fib	Smo	Commonbileduct
COL5A1_a1b1 complex	Fib.TRM_CD8	0	0.381	Fib	TRM_CD8	Commonbileduct
COL5A1_a2b1 complex	Fib.Cholangiocyte_FXYD2_high	0	0.334	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
COL5A2_a1b1 complex	Fib.BEC	0	0.599	Fib	BEC	Commonbileduct
COL5A2_a1b1 complex	Fib.Smo	0	0.451	Fib	Smo	Commonbileduct
COL5A2_a1b1 complex	Fib.TRM_CD8	0	0.483	Fib	TRM_CD8	Commonbileduct
COL5A2_a1b1 complex	Smo.BEC	0	0.533	Smo	BEC	Commonbileduct
COL5A2_a1b1 complex	Smo.Smo	0	0.384	Smo	Smo	Commonbileduct
COL5A2_a1b1 complex	Smo.TRM_CD8	0	0.416	Smo	TRM_CD8	Commonbileduct
COL5A2_a2b1 complex	Fib.Cholangiocyte_FXYD2_high	0	0.435	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
COL5A2_a2b1 complex	Smo.Cholangiocyte_FXYD2_high	0	0.369	Smo	Cholangiocyte_FXYD2_high	Commonbileduct
COL6A1_a1b1 complex	Fib.BEC	0	1.074	Fib	BEC	Commonbileduct
COL6A1_a1b1 complex	Fib.Smo	0	0.925	Fib	Smo	Commonbileduct
COL6A1_a1b1 complex	Fib.TRM_CD8	0	0.957	Fib	TRM_CD8	Commonbileduct
COL6A1_a1b1 complex	Smo.BEC	0	1.01	Smo	BEC	Commonbileduct
COL6A1_a1b1 complex	Smo.Smo	0	0.862	Smo	Smo	Commonbileduct
COL6A1_a1b1 complex	Smo.TRM_CD8	0	0.894	Smo	TRM_CD8	Commonbileduct
COL6A1_a2b1 complex	Fib.Cholangiocyte_FXYD2_high	0	0.91	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
COL6A1_a2b1 complex	Smo.Cholangiocyte_FXYD2_high	0	0.846	Smo	Cholangiocyte_FXYD2_high	Commonbileduct
COL6A2_a1b1 complex	Fib.BEC	0	1.572	Fib	BEC	Commonbileduct
COL6A2_a1b1 complex	Fib.Smo	0	1.424	Fib	Smo	Commonbileduct
COL6A2_a1b1 complex	Fib.TRM_CD8	0	1.456	Fib	TRM_CD8	Commonbileduct
COL6A2_a1b1 complex	Smo.BEC	0	1.304	Smo	BEC	Commonbileduct
COL6A2_a1b1 complex	Smo.Smo	0	1.156	Smo	Smo	Commonbileduct
COL6A2_a1b1 complex	Smo.TRM_CD8	0	1.187	Smo	TRM_CD8	Commonbileduct
COL6A2_a2b1 complex	Fib.Cholangiocyte_FXYD2_high	0	1.408	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
COL6A2_a2b1 complex	Smo.Cholangiocyte_FXYD2_high	0	1.14	Smo	Cholangiocyte_FXYD2_high	Commonbileduct
COL6A3_a1b1 complex	Fib.BEC	0	1.012	Fib	BEC	Commonbileduct
COL6A3_a1b1 complex	Fib.Smo	0	0.863	Fib	Smo	Commonbileduct
COL6A3_a1b1 complex	Fib.TRM_CD8	0	0.895	Fib	TRM_CD8	Commonbileduct
COL6A3_a2b1 complex	Fib.Cholangiocyte_FXYD2_high	0	0.848	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
COL8A1_a1b1 complex	Fib.BEC	0	0.525	Fib	BEC	Commonbileduct
COL8A1_a1b1 complex	Fib.Smo	0	0.377	Fib	Smo	Commonbileduct
COL8A1_a1b1 complex	Fib.TRM_CD8	0	0.409	Fib	TRM_CD8	Commonbileduct
COL8A1_a2b1 complex	Fib.Cholangiocyte_FXYD2_high	0	0.361	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
COL9A3_a1b1 complex	Fib.BEC	0	0.505	Fib	BEC	Commonbileduct
COL9A3_a1b1 complex	Fib.Smo	0	0.357	Fib	Smo	Commonbileduct
COL9A3_a1b1 complex	Fib.TRM_CD8	0	0.389	Fib	TRM_CD8	Commonbileduct
COL9A3_a2b1 complex	Fib.Cholangiocyte_FXYD2_high	0	0.341	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
COPA_P2RY6	BEC.BEC	0	0.295	BEC	BEC	Commonbileduct
COPA_P2RY6	Cholangiocyte_FXYD2_high.BEC	0	0.332	Cholangiocyte_FXYD2_high	BEC	Commonbileduct
COPA_P2RY6	Fib.BEC	0	0.356	Fib	BEC	Commonbileduct
COPA_P2RY6	Mac.BEC	0	0.476	Mac	BEC	Commonbileduct
COPA_P2RY6	Mon.BEC	0	0.373	Mon	BEC	Commonbileduct
COPA_P2RY6	Smo.BEC	0	0.31	Smo	BEC	Commonbileduct
COPA_SORT1	BEC.Cholangiocyte_FXYD2_high	0	0.258	BEC	Cholangiocyte_FXYD2_high	Commonbileduct
COPA_SORT1	BEC.Mac	0	0.282	BEC	Mac	Commonbileduct
COPA_SORT1	BEC.Smo	0	0.288	BEC	Smo	Commonbileduct
COPA_SORT1	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	0.295	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
COPA_SORT1	Cholangiocyte_FXYD2_high.Mac	0	0.319	Cholangiocyte_FXYD2_high	Mac	Commonbileduct
COPA_SORT1	Cholangiocyte_FXYD2_high.Smo	0	0.326	Cholangiocyte_FXYD2_high	Smo	Commonbileduct
COPA_SORT1	Fib.Cholangiocyte_FXYD2_high	0	0.319	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
COPA_SORT1	Fib.Mac	0	0.343	Fib	Mac	Commonbileduct
COPA_SORT1	Fib.Smo	0	0.35	Fib	Smo	Commonbileduct
COPA_SORT1	Mac.Cholangiocyte_FXYD2_high	0	0.439	Mac	Cholangiocyte_FXYD2_high	Commonbileduct
COPA_SORT1	Mac.Mac	0	0.463	Mac	Mac	Commonbileduct
COPA_SORT1	Mac.Smo	0	0.469	Mac	Smo	Commonbileduct
COPA_SORT1	Mon.Cholangiocyte_FXYD2_high	0	0.336	Mon	Cholangiocyte_FXYD2_high	Commonbileduct
COPA_SORT1	Mon.Mac	0	0.36	Mon	Mac	Commonbileduct
COPA_SORT1	Mon.Smo	0	0.367	Mon	Smo	Commonbileduct
COPA_SORT1	Smo.Cholangiocyte_FXYD2_high	0.015	0.273	Smo	Cholangiocyte_FXYD2_high	Commonbileduct
COPA_SORT1	Smo.Mac	0.015	0.297	Smo	Mac	Commonbileduct
COPA_SORT1	Smo.Smo	0	0.303	Smo	Smo	Commonbileduct
CSF1_SIRPA	Fib.Cholangiocyte_FXYD2_high	0	0.23	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
CSF1_SIRPA	Fib.Mac	0	0.497	Fib	Mac	Commonbileduct
CSF1_SIRPA	Fib.Mon	0	0.309	Fib	Mon	Commonbileduct
CSF1R_CSF1	Mac.Fib	0	0.79	Mac	Fib	Commonbileduct
CSF1R_CSF1	Mon.Fib	0	0.265	Mon	Fib	Commonbileduct
CSPG4_a3b1 complex	Smo.Cholangiocyte_FXYD2_high	0	0.489	Smo	Cholangiocyte_FXYD2_high	Commonbileduct
CSPG4_a3b1 complex	Smo.Cholangiocyte_MUC5B_high	0	0.464	Smo	Cholangiocyte_MUC5B_high	Commonbileduct
CX3CR1_CX3CL1	Mac.BEC	0	0.491	Mac	BEC	Commonbileduct
CX3CR1_CX3CL1	NK.BEC	0	0.588	NK	BEC	Commonbileduct
CX3CR1_CX3CL1	TEFF_CD8.BEC	0	0.487	TEFF_CD8	BEC	Commonbileduct
CXADR_FAM3C	Cholangiocyte_FXYD2_high.BEC	0	0.752	Cholangiocyte_FXYD2_high	BEC	Commonbileduct
CXADR_FAM3C	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	0.769	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
CXADR_FAM3C	Cholangiocyte_FXYD2_high.Fib	0	0.877	Cholangiocyte_FXYD2_high	Fib	Commonbileduct
CXADR_FAM3C	Cholangiocyte_FXYD2_high.Smo	0	0.741	Cholangiocyte_FXYD2_high	Smo	Commonbileduct
CXADR_FAM3C	Cholangiocyte_MUC5B_high.BEC	0	0.428	Cholangiocyte_MUC5B_high	BEC	Commonbileduct
CXADR_FAM3C	Cholangiocyte_MUC5B_high.Cholangiocyte_FXYD2_high	0	0.445	Cholangiocyte_MUC5B_high	Cholangiocyte_FXYD2_high	Commonbileduct
CXADR_FAM3C	Cholangiocyte_MUC5B_high.Fib	0	0.553	Cholangiocyte_MUC5B_high	Fib	Commonbileduct
CXADR_FAM3C	Cholangiocyte_MUC5B_high.Smo	0	0.418	Cholangiocyte_MUC5B_high	Smo	Commonbileduct
CXCL1_ACKR1	Cholangiocyte_FXYD2_high.BEC	0	0.908	Cholangiocyte_FXYD2_high	BEC	Commonbileduct
CXCL1_ACKR1	Cholangiocyte_MUC5B_high.BEC	0	1.067	Cholangiocyte_MUC5B_high	BEC	Commonbileduct
CXCL12_CXCR4	BEC.Mac	0	1.153	BEC	Mac	Commonbileduct
CXCL12_CXCR4	BEC.MAIT_CD8	0	0.975	BEC	MAIT_CD8	Commonbileduct
CXCL12_CXCR4	BEC.Mon	0	0.97	BEC	Mon	Commonbileduct
CXCL12_CXCR4	BEC.TEFF_CD8	0	0.846	BEC	TEFF_CD8	Commonbileduct
CXCL12_CXCR4	BEC.TRM_CD4	0	1.014	BEC	TRM_CD4	Commonbileduct
CXCL12_CXCR4	BEC.TRM_CD8	0	1.252	BEC	TRM_CD8	Commonbileduct
CXCL12_CXCR4	Fib.Mac	0	1.504	Fib	Mac	Commonbileduct
CXCL12_CXCR4	Fib.MAIT_CD8	0	1.326	Fib	MAIT_CD8	Commonbileduct
CXCL12_CXCR4	Fib.Mon	0	1.321	Fib	Mon	Commonbileduct
CXCL12_CXCR4	Fib.TEFF_CD8	0	1.198	Fib	TEFF_CD8	Commonbileduct
CXCL12_CXCR4	Fib.TRM_CD4	0	1.366	Fib	TRM_CD4	Commonbileduct
CXCL12_CXCR4	Fib.TRM_CD8	0	1.604	Fib	TRM_CD8	Commonbileduct
CXCL12_CXCR4	Smo.Mac	0	0.839	Smo	Mac	Commonbileduct
CXCL12_CXCR4	Smo.MAIT_CD8	0	0.661	Smo	MAIT_CD8	Commonbileduct
CXCL12_CXCR4	Smo.Mon	0	0.656	Smo	Mon	Commonbileduct
CXCL12_CXCR4	Smo.TRM_CD4	0	0.701	Smo	TRM_CD4	Commonbileduct
CXCL12_CXCR4	Smo.TRM_CD8	0	0.939	Smo	TRM_CD8	Commonbileduct
CXCL2_DPP4	Cholangiocyte_FXYD2_high.MAIT_CD8	0	0.929	Cholangiocyte_FXYD2_high	MAIT_CD8	Commonbileduct
CXCL2_DPP4	Cholangiocyte_MUC5B_high.MAIT_CD8	0	1.244	Cholangiocyte_MUC5B_high	MAIT_CD8	Commonbileduct
CXCL2_DPP4	Mac.MAIT_CD8	0.031	0.467	Mac	MAIT_CD8	Commonbileduct
CXCL2_DPP4	Mon.MAIT_CD8	0	0.85	Mon	MAIT_CD8	Commonbileduct
CXCL8_ACKR1	Cholangiocyte_FXYD2_high.BEC	0	0.94	Cholangiocyte_FXYD2_high	BEC	Commonbileduct
CXCL8_ACKR1	Cholangiocyte_MUC5B_high.BEC	0	0.891	Cholangiocyte_MUC5B_high	BEC	Commonbileduct
CXCL8_ACKR1	Mac.BEC	0	1.707	Mac	BEC	Commonbileduct
CXCL8_ACKR1	Mon.BEC	0	1.921	Mon	BEC	Commonbileduct
DLL4_NOTCH3	BEC.Smo	0	0.901	BEC	Smo	Commonbileduct
DLL4_NOTCH3	Cholangiocyte_MUC5B_high.Smo	0	1.209	Cholangiocyte_MUC5B_high	Smo	Commonbileduct
DPP4_CXCL12	MAIT_CD8.BEC	0	0.693	MAIT_CD8	BEC	Commonbileduct
DPP4_CXCL12	MAIT_CD8.Fib	0	1.044	MAIT_CD8	Fib	Commonbileduct
DPP4_CXCL12	MAIT_CD8.Smo	0	0.379	MAIT_CD8	Smo	Commonbileduct
DSC2_DSG2	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	0.455	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
DSC2_DSG2	Mac.Cholangiocyte_FXYD2_high	0	0.529	Mac	Cholangiocyte_FXYD2_high	Commonbileduct
EFNA1_EPHA2	BEC.Cholangiocyte_FXYD2_high	0	0.682	BEC	Cholangiocyte_FXYD2_high	Commonbileduct
EFNA1_EPHA2	BEC.Cholangiocyte_MUC5B_high	0	0.795	BEC	Cholangiocyte_MUC5B_high	Commonbileduct
EFNA1_EPHA2	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	0.667	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
EFNA1_EPHA2	Cholangiocyte_FXYD2_high.Cholangiocyte_MUC5B_high	0	0.78	Cholangiocyte_FXYD2_high	Cholangiocyte_MUC5B_high	Commonbileduct
EFNA1_EPHA2	Cholangiocyte_MUC5B_high.Cholangiocyte_FXYD2_high	0	0.76	Cholangiocyte_MUC5B_high	Cholangiocyte_FXYD2_high	Commonbileduct
EFNA1_EPHA2	Cholangiocyte_MUC5B_high.Cholangiocyte_MUC5B_high	0	0.873	Cholangiocyte_MUC5B_high	Cholangiocyte_MUC5B_high	Commonbileduct
EFNB2_EPHB4	BEC.BEC	0	0.535	BEC	BEC	Commonbileduct
EFNB2_EPHB4	BEC.Cholangiocyte_FXYD2_high	0	0.379	BEC	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_AREG	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	0.786	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_AREG	Cholangiocyte_FXYD2_high.Cholangiocyte_MUC5B_high	0	1.146	Cholangiocyte_FXYD2_high	Cholangiocyte_MUC5B_high	Commonbileduct
EGFR_AREG	Cholangiocyte_FXYD2_high.Mac	0	0.605	Cholangiocyte_FXYD2_high	Mac	Commonbileduct
EGFR_AREG	Cholangiocyte_FXYD2_high.Mon	0	0.936	Cholangiocyte_FXYD2_high	Mon	Commonbileduct
EGFR_AREG	Fib.Cholangiocyte_FXYD2_high	0	0.932	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_AREG	Fib.Cholangiocyte_MUC5B_high	0	1.293	Fib	Cholangiocyte_MUC5B_high	Commonbileduct
EGFR_AREG	Fib.Mac	0	0.751	Fib	Mac	Commonbileduct
EGFR_AREG	Fib.Mon	0	1.083	Fib	Mon	Commonbileduct
EGFR_COPA	Cholangiocyte_FXYD2_high.BEC	0	0.316	Cholangiocyte_FXYD2_high	BEC	Commonbileduct
EGFR_COPA	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	0.353	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_COPA	Cholangiocyte_FXYD2_high.Fib	0	0.377	Cholangiocyte_FXYD2_high	Fib	Commonbileduct
EGFR_COPA	Cholangiocyte_FXYD2_high.Mac	0	0.497	Cholangiocyte_FXYD2_high	Mac	Commonbileduct
EGFR_COPA	Cholangiocyte_FXYD2_high.Mon	0	0.394	Cholangiocyte_FXYD2_high	Mon	Commonbileduct
EGFR_COPA	Cholangiocyte_FXYD2_high.Smo	0	0.331	Cholangiocyte_FXYD2_high	Smo	Commonbileduct
EGFR_COPA	Fib.BEC	0	0.462	Fib	BEC	Commonbileduct
EGFR_COPA	Fib.Cholangiocyte_FXYD2_high	0	0.499	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_COPA	Fib.Fib	0	0.523	Fib	Fib	Commonbileduct
EGFR_COPA	Fib.Mac	0	0.643	Fib	Mac	Commonbileduct
EGFR_COPA	Fib.Mon	0	0.541	Fib	Mon	Commonbileduct
EGFR_COPA	Fib.Smo	0	0.477	Fib	Smo	Commonbileduct
EGFR_GRN	Cholangiocyte_FXYD2_high.BEC	0	0.499	Cholangiocyte_FXYD2_high	BEC	Commonbileduct
EGFR_GRN	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	0.55	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_GRN	Cholangiocyte_FXYD2_high.Cholangiocyte_MUC5B_high	0.016	0.44	Cholangiocyte_FXYD2_high	Cholangiocyte_MUC5B_high	Commonbileduct
EGFR_GRN	Cholangiocyte_FXYD2_high.Fib	0	0.493	Cholangiocyte_FXYD2_high	Fib	Commonbileduct
EGFR_GRN	Cholangiocyte_FXYD2_high.Mac	0	1.025	Cholangiocyte_FXYD2_high	Mac	Commonbileduct
EGFR_GRN	Cholangiocyte_FXYD2_high.Mon	0	0.742	Cholangiocyte_FXYD2_high	Mon	Commonbileduct
EGFR_GRN	Fib.BEC	0	0.645	Fib	BEC	Commonbileduct
EGFR_GRN	Fib.Cholangiocyte_FXYD2_high	0	0.697	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_GRN	Fib.Cholangiocyte_MUC5B_high	0	0.587	Fib	Cholangiocyte_MUC5B_high	Commonbileduct
EGFR_GRN	Fib.Fib	0	0.64	Fib	Fib	Commonbileduct
EGFR_GRN	Fib.Mac	0	1.172	Fib	Mac	Commonbileduct
EGFR_GRN	Fib.Mon	0	0.889	Fib	Mon	Commonbileduct
EGFR_GRN	Fib.Smo	0	0.483	Fib	Smo	Commonbileduct
EGFR_HBEGF	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	0.521	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_HBEGF	Cholangiocyte_FXYD2_high.Cholangiocyte_MUC5B_high	0	0.489	Cholangiocyte_FXYD2_high	Cholangiocyte_MUC5B_high	Commonbileduct
EGFR_HBEGF	Cholangiocyte_FXYD2_high.Mac	0	0.768	Cholangiocyte_FXYD2_high	Mac	Commonbileduct
EGFR_HBEGF	Cholangiocyte_FXYD2_high.Mon	0	0.58	Cholangiocyte_FXYD2_high	Mon	Commonbileduct
EGFR_HBEGF	Fib.Cholangiocyte_FXYD2_high	0	0.668	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_HBEGF	Fib.Cholangiocyte_MUC5B_high	0	0.635	Fib	Cholangiocyte_MUC5B_high	Commonbileduct
EGFR_HBEGF	Fib.Mac	0	0.915	Fib	Mac	Commonbileduct
EGFR_HBEGF	Fib.Mon	0	0.726	Fib	Mon	Commonbileduct
EGFR_MIF	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	1.379	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_MIF	Cholangiocyte_FXYD2_high.Cholangiocyte_MUC5B_high	0	1.289	Cholangiocyte_FXYD2_high	Cholangiocyte_MUC5B_high	Commonbileduct
EGFR_MIF	Cholangiocyte_FXYD2_high.Fib	0	0.975	Cholangiocyte_FXYD2_high	Fib	Commonbileduct
EGFR_MIF	Cholangiocyte_FXYD2_high.MAIT_CD8	0	0.958	Cholangiocyte_FXYD2_high	MAIT_CD8	Commonbileduct
EGFR_MIF	Cholangiocyte_FXYD2_high.Smo	0	1.135	Cholangiocyte_FXYD2_high	Smo	Commonbileduct
EGFR_MIF	Cholangiocyte_FXYD2_high.TRM_CD8	0	0.918	Cholangiocyte_FXYD2_high	TRM_CD8	Commonbileduct
EGFR_MIF	Fib.BEC	0	1.018	Fib	BEC	Commonbileduct
EGFR_MIF	Fib.Cholangiocyte_FXYD2_high	0	1.525	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_MIF	Fib.Cholangiocyte_MUC5B_high	0	1.435	Fib	Cholangiocyte_MUC5B_high	Commonbileduct
EGFR_MIF	Fib.Fib	0	1.121	Fib	Fib	Commonbileduct
EGFR_MIF	Fib.MAIT_CD8	0	1.105	Fib	MAIT_CD8	Commonbileduct
EGFR_MIF	Fib.Smo	0	1.281	Fib	Smo	Commonbileduct
EGFR_MIF	Fib.TRM_CD4	0	1.003	Fib	TRM_CD4	Commonbileduct
EGFR_MIF	Fib.TRM_CD8	0	1.065	Fib	TRM_CD8	Commonbileduct
EGFR_TGFA	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	0.361	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_TGFA	Fib.Cholangiocyte_FXYD2_high	0	0.507	Fib	Cholangiocyte_FXYD2_high	Commonbileduct
EGFR_TGFB1	Cholangiocyte_FXYD2_high.BEC	0	0.431	Cholangiocyte_FXYD2_high	BEC	Commonbileduct
EGFR_TGFB1	Cholangiocyte_FXYD2_high.Mac	0	0.526	Cholangiocyte_FXYD2_high	Mac	Commonbileduct
EGFR_TGFB1	Cholangiocyte_FXYD2_high.MAIT_CD8	0	0.551	Cholangiocyte_FXYD2_high	MAIT_CD8	Commonbileduct
EGFR_TGFB1	Cholangiocyte_FXYD2_high.Mon	0	0.434	Cholangiocyte_FXYD2_high	Mon	Commonbileduct
EGFR_TGFB1	Cholangiocyte_FXYD2_high.NK	0	0.679	Cholangiocyte_FXYD2_high	NK	Commonbileduct
EGFR_TGFB1	Cholangiocyte_FXYD2_high.TEFF_CD8	0	0.572	Cholangiocyte_FXYD2_high	TEFF_CD8	Commonbileduct
EGFR_TGFB1	Cholangiocyte_FXYD2_high.TRM_CD4	0	0.47	Cholangiocyte_FXYD2_high	TRM_CD4	Commonbileduct
EGFR_TGFB1	Cholangiocyte_FXYD2_high.TRM_CD8	0	0.508	Cholangiocyte_FXYD2_high	TRM_CD8	Commonbileduct
EGFR_TGFB1	Fib.BEC	0	0.577	Fib	BEC	Commonbileduct
EGFR_TGFB1	Fib.Mac	0	0.672	Fib	Mac	Commonbileduct
EGFR_TGFB1	Fib.MAIT_CD8	0	0.698	Fib	MAIT_CD8	Commonbileduct
EGFR_TGFB1	Fib.Mon	0	0.58	Fib	Mon	Commonbileduct
EGFR_TGFB1	Fib.NK	0	0.826	Fib	NK	Commonbileduct
EGFR_TGFB1	Fib.TEFF_CD8	0	0.718	Fib	TEFF_CD8	Commonbileduct
EGFR_TGFB1	Fib.TRM_CD4	0	0.617	Fib	TRM_CD4	Commonbileduct
EGFR_TGFB1	Fib.TRM_CD8	0	0.654	Fib	TRM_CD8	Commonbileduct
EPHB4_EFNB1	BEC.BEC	0	0.428	BEC	BEC	Commonbileduct
EPHB4_EFNB1	BEC.Cholangiocyte_FXYD2_high	0	0.483	BEC	Cholangiocyte_FXYD2_high	Commonbileduct
EPHB4_EFNB1	Cholangiocyte_FXYD2_high.BEC	0	0.272	Cholangiocyte_FXYD2_high	BEC	Commonbileduct
EPHB4_EFNB1	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	0.327	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
EREG_EGFR	Cholangiocyte_FXYD2_high.Cholangiocyte_FXYD2_high	0	0.48	Cholangiocyte_FXYD2_high	Cholangiocyte_FXYD2_high	Commonbileduct
EREG_EGFR	Cholangiocyte_FXYD2_high.Fib	0	0.627	Cholangiocyte_FXYD2_high	Fib	Commonbileduct
